product_name,price_of_the_product,properties,star_ratings,no_of_ratings,no_of_reviews
NASAKA Xtra Sure 20 L Gravity Based Water Purifier 20 L Gravity Based + UF Water Purifier,"₹1,756","['Non - Electrical & Storage', 'Gravity Based + UF', '20 L Capacity', '1 Year']",4.2,128,18
Aqua Fresh EPICAQUA++UV+UF+TDSADJUSTER 15 L RO Water Purifier,"₹5,599","['Electrical & Storage', 'RO', '15 L Capacity', ""Offsite Warranty on MOTER/SMPS available from seller. But Installation amount will be paid by customer . If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) All service will chargeable.""]",4.1,535,93
KENT MAXX (11013) 7 L UV + UF Water Purifier,"₹7,758","['Electrical & Storage', 'UV + UF', '7 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase']",4,"4,922",876
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,342",428
Blue Star Aristo RO+UF 7 L RO + UF Water Purifier with Pre Filter,"₹8,990","['Electrical & Storage', 'RO + UF', '7 L Capacity', '1 year Domestic Warranty, Consumables and Plastics not covered warranty']",4.2,"9,770","1,728"
Pureit by HUL Advanced Plus 5 L RO + MF + MP Water Purifier,"₹7,499","['Electrical & Storage', 'RO + MF + MP', '5 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.3,"4,306",739
EUREKA FORBES Smart UV Water Purifier,"₹6,999","['Electrical & Non - Storage', 'UV', '1 Year Manufacturer Warranty']",4.2,912,204
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,11,1
KENT GOLD+(11015) 20 L Gravity Based + UF Water Purifier,"₹2,699","['Non - Electrical & Storage', 'Gravity Based + UF', '20 L Capacity', 'Not Applicable']",4.1,"4,272",580
Aquagrand Black Audi purify Mineral+ro+uv+uf+tds 15 L 12 L RO + UV + UF + TDS Water Purifier,"₹5,160","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 months domestic warranty on electric parts(pump and smps)']",3.8,238,42
Pureit by HUL Copper+Mineral RO+UV+MF 8 L RO + UV Water Purifier with Copper Charge Technology,"₹20,799","['Electrical & Storage', 'RO + UV', '8 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.4,"1,115",223
KENT Ace Extra 8 L RO + UV + UF + TDS Control + Alkaline + UV in Tank Water Purifier with Alkaline Wat...,"₹16,200","['Electrical & Storage', 'RO + UV + UF + TDS Control + Alkaline + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,005",373
Mi Smart (MRB13) 7 L RO + UV Water Purifier with App Connectivity and DIY Filter Replacement,"₹12,999","['Electrical & Storage', 'RO + UV', '7 L Capacity', '1 Year Limited Warranty (Covers manufacturing related defects)']",4.1,"4,223",681
KENT Gold Optima (11016) 10 L Gravity Based + UF Water Purifier,"₹1,599","['Non - Electrical & Storage', 'Gravity Based + UF', '10 L Capacity', 'Not Applicable']",3.8,"8,821","1,173"
Eureka Forbes Aquasure from Aquaguard Desire 7 L RO + UV + MTDS Water Purifier,"₹9,299","['Electrical & Storage', 'RO + UV + MTDS', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.2,"7,233","1,630"
KENT ACE Plus 8 L RO + UV + UF + TDS Control + UV in Tank Water Purifier,"₹15,250","['Electrical & Storage', 'RO + UV + UF + TDS Control + UV in Tank', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"1,129",126
Ao Smith Z8 10 L RO Water Purifier,"₹22,499","['Electrical & Storage', 'RO', '10 L Capacity', '1 Year Comprehensive Warranty & 1 Year RO Membrane Warranty if TDS is < 2000 ppm Hardness is < 400 ppm']",4.4,"1,318",254
KENT Grand Plus ZW 9 L RO + UV + UF + TDS Water Purifier,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '9 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.3,46,6
V-Guard Zenora RO+UF+MB 7 L RO + UF + MB Water Purifier,"₹8,919","['Electrical & Storage', 'RO + UF + MB', '7 L Capacity', 'One Year comprehensive domestic warranty on All parts excluding the plastic body of the product and any other additional accessory purchased separately. Technician visit, if applicable, will be free for the customer.']",4.2,331,75
FABER FWP GALAXY FRESH 7 L RO + UV + MAT + pH Enhancer Water Purifier,"₹9,490","['Electrical & Storage', 'RO + UV + MAT + pH Enhancer', '7 L Capacity', '1 Year Warranty on Product']",3.7,7,4
Aqua Model Copper Filter+ RO_UV_UF_TDS 12 L RO + UV + UF + TDS Water Purifier,"₹4,712","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', '6 months domestic warranty']",3.8,130,20
Aquaguard Glory 6 L RO + UV + MTDS Water Purifier with Active Copper technology,"₹14,999","['Electrical & Storage', 'RO + UV + MTDS', '6 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase, 1 Year Warranty on RO Membrane']",4.2,244,44
Hindware Elara Copper+ 7 L RO + UV + UF + Minerals Water Purifier with Advance Copper + Technology,"₹8,299","['Electrical & Storage', 'RO + UV + UF + Minerals', '7 L Capacity', '1 Year Manufacturer Domestic Warranty on Electrical Parts Including Membranes']",4,412,122
FABER FWP GALAXY PRO PLUS BK 7 L RO + UV + MAT Water Purifier,"₹9,190","['Electrical & Storage', 'RO + UV + MAT', '7 L Capacity', '1 year warranty on product']",2.5,4,1
HAVELLS GHWRPMB015-RO-MAX 8 L RO + UV + UF + TDS Water Purifier,"₹13,245","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', 'COMPHRESIVE']",4.3,102,23
Aqua Fresh RO_UV_UF_Golden Black 12 L RO + UV + UF + TDS Water Purifier,"₹5,301","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Water Purifier Warranty on MOTER/SMPS available from seller.But Installation amount will be paid by customer(installation charge is 500-700/-).If any problem occurs during warranty period Then buyer will make courier at seller or service center address after that seller will replace MOTER/SMPS (Seller will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) and every visit will be chargeable after the installation (RS300/-) All service will chargeable.""]",3.9,208,42
"Aquaguard Apex 8 L RO + UV + MTDS Water Purifier with Active Copper technology, 7 stages purification","₹13,699","['Electrical & Storage', 'RO + UV + MTDS', '8 L Capacity', '1 Year Manufacturer Warranty from the Date of Purchase and RO Membrane']",4.2,84,13
KENT Ace Lite 8 L RO + UF + TDS Water Purifier,"₹12,999","['Electrical & Storage', 'RO + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,"3,335",428
Aqua Fresh NYC PRISM COPPER+ALKALINE+RO+UV+TDS 15 L WHITE AUTOMATIC ELECTRICAL BOREWELL 1500 TDS BEST ...,"₹5,639","['Electrical & Storage', 'RO + UV', '15 L Capacity', '6 MONTH OFFSITE WARRANTY']",3.9,27,5
Eureka Forbes Aquasure from Aquaguard Amaze 7 L RO + UV + MTDS Water Purifier,"₹9,999","['Electrical & Storage', 'RO + UV + MTDS', '7 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables . Technician Visit, if applicable, will be charged to the customer.']",4.1,762,153
KENT ULTRA  (11012) UV Water Purifier,"₹6,000","['Electrical & Non - Storage', 'UV', '1 year domestic manufacturer warranty']",3.9,965,146
FABER FWP GALAXY PRO 7 L RO + MAT Water Purifier,"₹7,990","['Electrical & Storage', 'RO + MAT', '7 L Capacity', '1 year warranty on product']",3.5,12,1
Pureit by HUL ULTIMA MINERAL 10 L RO + UV + MF Water Purifier,"₹16,999","['Electrical & Storage', 'RO + UV + MF', '10 L Capacity', '1 Year Comprehensive Domestic Warranty on All Parts excluding Consumables & Germkill Kit. Technician Visit, if applicable, will be charged to the customer.']",4.2,"1,040",197
nexus pure PURE LED LIGHT BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier,"₹6,599","['Electrical & Storage', 'RO + UV + UF + TDS', '10 L Capacity', 'APPLICABLE ONLY SMPS POWERSUPPLY']",4,145,63
Aquaultra Cyclone 14 L RO + UV + UF + TDS Water Purifier,"₹4,799","['Electrical & Storage', 'RO + UV + UF + TDS', '14 L Capacity', '12 Month']",4,18,6
KENT Ace Star 8 L RO + UV + UF + TDS Water Purifier with Digital Display,"₹16,999","['Electrical & Storage', 'RO + UV + UF + TDS', '8 L Capacity', '1 Year Warranty Provided by the Manufacturer from Date of Purchase and 3 Years No Service Charge']",4.4,403,49
Royal Aquafresh Copper O D 12 L RO + UV + UF + TDS Water Purifier,"₹5,159","['Electrical & Storage', 'RO + UV + UF + TDS', '12 L Capacity', ""Warranty on MOTER/SMPS available from Manufacture. But Installation amount will be paid by customer 450-600/- . If any problem occurs during warranty period Then buyer will make courier at Manufacture or service center address after that Manufacture will replace MOTER/SMPS (Manufacture will courier parts and it will get deliver to customer's address within maximum 4-6 days(working hours) , and every visit will be chargeable after the installation (RS300/-) Ã¢?Â¢ All service will chargeable.""]",4,197,29
NASAKA Xtra Sure 20 L  Water Purifier 20 L Gravity Based Water Purifier,"₹1,756","['Non - Electrical & Storage', 'Gravity Based', '20 L Capacity', 'One Year manufacturer warranty']",4.3,198,20
